"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","comf_saf","=~","Q8_8",0.446198193104812,0.0247987824364934,17.9927459845043,0,0.397593472668841,0.494802913540784
"2","comf_saf","=~","Q8_9",0.567506283266922,0.0216501448466351,26.2125859797712,0,0.525072779107442,0.609939787426402
"3","comf_saf","=~","Q8_10",0.758616623237615,0.0159346974609827,47.6078460287773,0,0.727385190109547,0.789848056365683
"4","comf_saf","=~","Q8_11",0.797590340367367,0.0148690579131267,53.6409465231309,0,0.768447522373598,0.826733158361135
"5","comf_saf","=~","Q8_12",0.526540123825661,0.0227854387537023,23.1086234290795,0,0.481881484496461,0.57119876315486
"6","comf_saf","=~","Q8_15",0.535395458581995,0.0225458602672798,23.7469518676562,0,0.491206384457654,0.579584532706336
"7","ex_env","=~","Q8_1",0.776330115461088,0.0198499663580499,39.1098957780479,0,0.737424896304978,0.815235334617198
"8","ex_env","=~","Q8_2",0.681918281848827,0.0212040481305538,32.1598157884873,0,0.640359111186488,0.723477452511166
"9","ex_env","=~","Q8_3",0.507282989329796,0.0249316936166167,20.346912533519,0,0.45841776776764,0.556148210891952
"10","ex_env","=~","Q8_13",0.44821152465239,0.0262427659471301,17.0794315490744,0,0.3967766485413,0.499646400763479
"11","MAX_attitude","=~","Q34_1",0.716523451975735,0.0155462345087024,46.0898394125369,0,0.686053392243465,0.746993511708006
"12","MAX_attitude","=~","Q34_2",0.873275447435705,0.0103188961124127,84.6287662868546,0,0.853050782695166,0.893500112176244
"13","MAX_attitude","=~","Q34_3",0.808813514618349,0.0122966801803902,65.7749492345245,0,0.784712464335377,0.832914564901322
"14","MAX_attitude","=~","Q34_4",0.73689583109047,0.0148142715992782,49.7422925016694,0,0.707860392298691,0.76593126988225
"15","bike_attitude","=~","Q21_1",0.672303029476626,0.0186264123652087,36.0940698774815,0,0.635795932079626,0.708810126873627
"16","bike_attitude","=~","Q21_2",0.537984342211685,0.0226148116986847,23.7890259436905,0,0.493660125765108,0.582308558658262
"17","bike_attitude","=~","Q21_3",0.708564654494707,0.0174872495195012,40.5189308761529,0,0.674290275247819,0.742839033741594
"18","bike_attitude","=~","Q21_4",0.442033314671791,0.0250333095522304,17.6578056428981,0,0.392968929535576,0.491097699808005
"19","bike_attitude","=~","Q21_8",0.419089184099697,0.0255474398047727,16.4043515632985,0,0.369017122185138,0.469161246014257
"20","bike_attitude","=~","Q21_9",0.612977069756366,0.020454977583,29.9671347606759,0,0.572886050389112,0.65306808912362
"21","bike_attitude","=~","Q21_10",0.65476161787651,0.019174268262247,34.1479324749876,0,0.617180742652596,0.692342493100423
"22","car_attitude","=~","Q15_1",0.572291055314395,0.0234661109797533,24.3879804288052,0,0.526298322936859,0.618283787691932
"23","car_attitude","=~","Q15_2",0.654940575232945,0.0214245979765583,30.5695619562872,0,0.612949134815641,0.696932015650249
"24","car_attitude","=~","Q15_4",0.640414742494497,0.021775224798442,29.4102471236172,0,0.597736086134287,0.683093398854707
"25","car_attitude","=~","Q15_6",0.598595072399607,0.0228093619065311,26.2433940437505,0,0.553889544552466,0.643300600246748
"26","car_attitude","=~","Q15_8",0.566375079526731,0.0236132912181296,23.985435757125,0,0.520093879182741,0.612656279870721
"27","escooter_attitude","=~","Q28_1",0.737824279721168,0.0162231254965361,45.4797862396308,0,0.706027538031284,0.769621021411053
"28","escooter_attitude","=~","Q28_2",0.610183103760634,0.0202768363647366,30.0926186306757,0,0.570441234765338,0.64992497275593
"29","escooter_attitude","=~","Q28_3_r",0.409642284545186,0.0255395620507924,16.0395187564493,0,0.359585662744707,0.459698906345665
"30","escooter_attitude","=~","Q28_4",0.415782405176921,0.0254065260187069,16.3651813266709,0,0.365986529207976,0.465578281145867
"31","escooter_attitude","=~","Q28_8",0.627004855619571,0.0197596950097946,31.7315047276172,0,0.588276565054878,0.665733146184264
"32","escooter_attitude","=~","Q28_9",0.477870229026404,0.0239566599401791,19.9472810575293,0,0.430916038353779,0.524824419699028
"33","escooter_attitude","=~","Q28_10",0.738201377441496,0.0162110966585354,45.5367945174037,0,0.706428211840869,0.769974543042123
"34","escooter_attitude","=~","Q28_11",0.592270888816026,0.0208169902073102,28.4513218730362,0,0.551470337743175,0.633071439888877
"35","Q35_2","~","comf_saf",-0.125866816467836,0.0312329839039013,-4.02993248596122,5.57928752455972e-05,-0.187082340049202,-0.06465129288647
"36","Q35_2","~","ex_env",0.0715193280407056,0.0337580055614612,2.11858866811591,0.0341252442321816,0.00535485295033877,0.137683803131072
"37","Q35_2","~","car_attitude",-0.0655094440587075,0.0302966275402528,-2.16226852218684,0.0305974845488919,-0.124889742890627,-0.00612914522678769
"38","Q35_2","~","MAX_attitude",-0.0711228942183785,0.0278129655823343,-2.55718484991594,0.010552312642337,-0.125635305063006,-0.0166104833737513
"39","Q35_2","~","bike_attitude",0.432608269294965,0.0290599579787247,14.88674793032,0,0.375651798264418,0.489564740325513
"40","Q35_2","~","escooter_attitude",-0.0104888459080426,0.0274552569980328,-0.382034155017893,0.702436030576949,-0.0643001608104782,0.043322468994393
"41","Q35_2","~","RECODED_Q63_am_ind_ala",0.00519166212373603,0.0228827981050813,0.226880563290168,0.820516616221579,-0.0396577980277247,0.0500411222751968
"42","Q35_2","~","RECODED_Q63_asian",0.00874329362875625,0.0241388541639157,0.362208312349237,0.71719636835115,-0.0385679911605832,0.0560545784180957
"43","Q35_2","~","RECODED_Q63_black",-0.00168408920519678,0.0226474301025517,-0.0743611614020185,0.940723011918903,-0.0460722365485863,0.0427040581381928
"44","Q35_2","~","RECODED_Q63_hisp_lat",-0.0255974720416882,0.0239289416247298,-1.06972855060309,0.284741511223832,-0.0724973358143199,0.0213023917309435
"45","Q35_2","~","RECODED_Q63_more_than_one_race",0.0373060085823327,0.0233664486577194,1.59656305195562,0.110363140455218,-0.00849138923340151,0.0831034063980669
"46","Q35_2","~","RECODED_Q63_nat_haw_pac",-0.0363681089334601,0.0226151179320728,-1.6081326236147,0.107806135556852,-0.0806929255864486,0.0079567077195285
"47","Q35_2","~","RECODED_Q63_other",-0.00970185597560353,0.0226581805276667,-0.428183364668541,0.668517626687244,-0.0541110737650369,0.0347073618138299
"48","Q35_2","~","Q65_female",-0.0874706690239682,0.0238309922698196,-3.67045853708509,0.000242115743519289,-0.134178555588667,-0.0407627824592693
"49","Q35_2","~","Q65_nonbinary",-0.0207059633919257,0.0239526660319623,-0.864453391714134,0.38733887354071,-0.0676523261482878,0.0262403993644363
