"","StartDate","EndDate","Status","IPAddress","Progress","Duration__in_seconds_","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q3_2","Q3_3","Q3_7","Q3_4","Q3_6","Q3_9","Q3_7_TEXT","Q5","Q6","Q6_14_TEXT","Q7_4","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_6","Q8_7","Q8_8","Q8_9","Q8_10","Q8_11","Q8_12","Q8_13","Q8_14","Q8_15","Q11","Q12","Q13","Q14_2","Q14_6","Q14_4","Q14_9","Q14_11","Q14_12","Q14_13","Q14_14","Q14_15","Q14_7","Q14_7_TEXT","Q15_1","Q15_2","Q15_3","Q15_4","Q15_5","Q15_6","Q15_7","Q15_8","Q17","Q19_1","Q19_2","Q19_3","Q19_4","Q19_8","Q19_9","Q19_11","Q19_12","Q19_13","Q19_15","Q19_16","Q19_14","Q19_7","Q19_7_TEXT","Q20_2","Q20_3","Q20_4","Q20_5","Q20_6","Q20_8","Q20_9","Q20_10","Q20_7","Q20_7_TEXT","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q21_7","Q21_8","Q21_9","Q21_10","Q23","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q25_6","Q25_8","Q25_9","Q25_11","Q25_10","Q25_12","Q25_7","Q25_7_TEXT","Q26_2","Q26_9","Q26_3","Q26_4","Q26_5","Q26_6","Q26_8","Q26_7","Q26_7_TEXT","Q27","Q28_1","Q28_2","Q28_3","Q28_4","Q28_5","Q28_6","Q28_7","Q28_8","Q28_9","Q28_10","Q28_11","Q30","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","Q32_8","Q32_9","Q32_10","Q32_11","Q32_12","Q32_7","Q32_7_TEXT","Q33_2","Q33_3","Q33_8","Q33_7","Q33_7_TEXT","Q34_1","Q34_2","Q34_3","Q34_4","Q34_5","Q34_6","Q34_7","Q34_8","Q34_9","Q34_10","Q34_11","Q35_1","Q35_2","Q35_3","Q35_4","Q63_1","Q63_2","Q63_3","Q63_7","Q63_8","Q63_4","Q63_5","Q63_6","Q63_6_TEXT","Q64","Q65","Q65_4_TEXT","Q66","Q67","Q68","Q69","Q70","Q71","org","Q25_7_TEXT___Parent_Topics","Q25_7_TEXT___Topics","RECODED_Q63","Q15_7_r","Q21_5_r","Q21_6_r","Q21_7_r","Q28_3_r","Q28_5_r","Q28_6_r","Q28_7_r","Q34_10_r","RECODED_Q6","RECODED_Q63_am_ind_ala","RECODED_Q63_asian","RECODED_Q63_black","RECODED_Q63_hisp_lat","RECODED_Q63_more_than_one_race","RECODED_Q63_nat_haw_pac","RECODED_Q63_other","RECODED_Q63_white","RECODED_Q63_NA","RECODED_Q6_personalvehicle","RECODED_Q6_activetransport","RECODED_Q6_publictransit","RECODED_Q6_other","RECODED_Q6_NA","Q65_male","Q65_female","Q65_nonbinary","Q65_other","Q65_NA","Q68_inc_1","Q68_inc_2","Q68_inc_3","Q68_inc_4","Q68_inc_5","Q68_inc_6","Q68_NA","attitude_car","attitude_mean_car","attitude_bike","attitude_mean_bike","attitude_escooter","attitude_mean_escooter","attitude_MAX","attitude_mean_MAX","na.rm","Q8_FAC1","Q8_FAC2","attitude_fac_car","attitude_fac_bike","attitude_fac_escooter","attitude_fac_MAX"
"1",2020-02-28 23:18:10,2020-02-28 23:42:48,"IP Address","76.105.169.178",100,1477,"True",2020-02-28 23:42:49,"R_22o7YIBScQxi8xl","","","","","45.4886932373046875","-122.50910186767578125","anonymous","EN",1,1,0,0,0,0,0,"",5,5,"",12,1,1,1,5,4,5,5,4,1,2,2,1,1,2,3,1,1,1,0,0,0,0,0,1,0,0,0,1,"Studying too much to leave home or school.",4,5,3,5,2,2,5,5,2,0,0,0,1,0,0,0,0,1,0,0,0,1,"No friends that enjoy biking",0,0,0,0,0,0,0,0,1,"No friends nearby to bike the nice trails",4,2,3,3,4,2,4,5,4,4,0,1,0,0,1,0,0,0,0,0,0,1,0,"",0,0,0,0,0,0,1,0,"",0,3,3,1,1,4,2,4,1,3,3,4,2,0,0,0,1,0,0,0,1,1,1,1,0,"",0,0,1,0,"",4,4,4,5,5,5,4,4,3,1,4,10,6,1,NA,0,1,0,1,0,0,0,0,"",30,"nonbinary","",1,0,"inc_1",4,0,"SE Stark and SE 162rd","transpoandparking","","","more_than_one_race",3,2,4,2,5,2,4,2,5,"publictransit",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,26,3.71428571428571,29,3.22222222222222,27,2.7,42,4.2,TRUE,-0.738121925072168,-1.35191092888085,0.597875077259241,0.254434007944157,0.0100314000750487,1.09451130908031
"2",2020-02-29 04:02:58,2020-02-29 04:44:12,"IP Address","24.21.72.187",100,2474,"True",2020-02-29 04:44:13,"R_2PyXe9kpHduoz9A","","","","","45.480499267578125","-122.63629913330078125","anonymous","EN",1,1,0,0,0,0,0,"",5,4,"",3,3,2,1,5,4,5,5,5,3,5,2,3,2,3,2,0,0,2,0,1,1,0,1,0,1,1,0,1,"Too scared to learn how to drive",3,4,4,4,3,4,5,4,0,0,0,0,0,1,0,1,1,0,0,0,0,1,"I have a small bag,  but I carry a load too heavy for one shoulder to bear over the amount of time it'll take for me to get to school.",1,0,1,0,0,0,1,0,0,"",3,3,3,1,5,4,4,5,3,3,0,1,0,0,0,0,1,1,0,0,1,1,1,"I don't know if I can ride an e-scooter. I have no physical disabilities. I've never learned how to ride a scooter. My phone doesn't have enough data nor storage to have an e-scooter app.",0,0,0,1,1,0,1,0,"",0,3,2,2,1,5,4,4,3,4,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,0,1,0,"",4,4,3,3,4,4,3,4,3,1,4,8,3,NA,NA,0,1,0,1,0,0,0,0,"",21,"female","",0,0,NA,3,0,"39th and Hawthorne","transpoandparking","","","more_than_one_race",3,3,2,2,4,3,2,2,5,"publictransit",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,1,26,3.71428571428571,26,2.88888888888889,27,2.7,36,3.6,TRUE,0.0908843431018251,-0.297236202123625,0.264780133103169,-0.421908692360494,-0.224969934250071,0.397103876216327
"3",2020-02-29 11:01:02,2020-02-29 11:15:27,"IP Address","24.22.89.230",100,865,"True",2020-02-29 11:15:28,"R_DvrXRfc1KP8zGrT","","","","","45.3993072509765625","-122.6078948974609375","anonymous","EN",1,1,0,0,0,0,0,"",5,4,"",7,3,3,3,3,5,5,5,2,5,5,5,2,4,3,3,1,1,1,0,0,0,0,0,0,0,0,1,0,"",4,4,3,4,3,2,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,1,0,"",4,3,4,1,3,3,3,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,"",1,0,0,0,0,0,0,0,"",0,3,3,4,1,3,3,3,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,"",0,0,1,0,"",4,4,4,4,4,4,4,4,4,1,4,4,1,1,8,0,0,0,0,0,1,0,0,"",23,"male","",0,0,"inc_1",2,0,"SE Flavel Dr. and SE Harney Dr.","transpoandparking","","","hisp_lat",2,3,3,3,2,3,3,3,5,"publictransit",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,24,3.42857142857143,27,3,26,2.6,40,4,TRUE,-0.153258117804547,0.956496992761861,-0.0369549428439782,-0.0523453804911933,-0.245239735957725,0.882243706685737
"4",2020-02-29 13:10:02,2020-02-29 13:17:48,"IP Address","24.21.81.101",100,465,"True",2020-02-29 13:17:48,"R_6gvSx549USnJOEN","","","","","45.4752044677734375","-122.55609893798828125","anonymous","EN",1,1,0,0,1,0,0,"",4,1,"",1,3,2,1,3,3,3,4,3,1,3,1,3,2,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,"",2,3,2,4,2,2,4,4,0,0,1,0,0,1,1,0,1,0,0,0,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,2,3,2,3,4,3,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,1,0,"",0,3,3,3,2,2,3,2,4,3,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,"",0,0,1,0,"",3,2,3,4,4,4,4,4,3,3,4,2,1,4,8,0,0,0,1,0,1,0,0,"",28,"female","",0,0,"inc_1",4,0,"SW Broadway and 10th","transpoandparking","","","more_than_one_race",2,3,2,3,3,4,3,4,3,"activetransport",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19,2.71428571428571,25,2.77777777777778,33,3.3,35,3.5,TRUE,-1.85383143098091,0.0250762792149452,-0.96030616074417,-0.700281653314748,0.616196732115525,0.0235028016546975
"5",2020-02-29 14:01:31,2020-02-29 14:14:24,"IP Address","131.252.58.151",100,772,"True",2020-02-29 14:14:25,"R_dpuBKp5jnXuhG6t","","","","","45.524505615234375","-122.6692047119140625","anonymous","EN",1,1,0,0,0,0,0,"",6,5,"",NA,2,3,1,5,4,4,3,4,4,5,3,3,2,1,2,1,1,0,0,0,0,1,0,1,0,0,0,1,"I have anxiety driving around on campus.",3,4,3,4,3,3,4,4,0,0,1,0,1,1,0,0,1,1,0,0,0,1,"Too far away to be able to bike.",1,1,0,0,0,0,1,0,0,"",4,3,3,1,4,5,3,5,3,3,0,1,0,0,1,1,0,1,0,1,0,1,0,"",1,0,1,1,1,0,0,0,"",0,3,3,3,1,4,5,3,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,"",0,0,1,0,"",4,3,3,4,5,3,4,5,4,1,4,5,1,1,NA,0,1,0,0,0,0,0,0,"",22,"female","",0,0,"inc_1",3,0,"NE Wilkins St and NE John Olsen Ave","transpoandparking","","","asian",2,2,3,3,3,2,3,3,5,"publictransit",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,24,3.42857142857143,27,3,29,2.9,39,3.9,TRUE,-0.0863614341347403,-0.620714561065094,-0.0809099907896767,-0.163296482809137,0.31972256433114,0.617602112756032
"6",2020-02-29 14:26:18,2020-02-29 14:56:07,"IP Address","50.45.252.24",100,1789,"True",2020-02-29 14:56:08,"R_214FTi8siJlDICB","","","","","45.350006103515625","-122.85589599609375","anonymous","EN",1,1,0,0,0,0,0,"",2,5,"",23,3,2,1,5,4,2,4,2,2,4,4,3,3,3,3,1,1,3,0,0,0,0,0,1,0,0,1,1,"I don't want to make more carbon emissions than I have to.",4,4,3,5,4,2,4,4,0,0,0,1,0,1,0,0,0,0,0,0,1,1,"I live too far away to bike to school. Also, I've never biked downtown, and since it's been awhile since I've ridden a bike I'm a little wobbly, and not comfortable being near all those cars. I'd have to carry around my bike helmet, and anyway, I'd rather just walk.",0,1,1,0,0,1,0,1,1,"I live in the country, so biking is not an efficient way to get anywhere",3,2,4,1,2,3,2,4,3,2,0,1,0,1,0,1,0,1,0,0,1,1,0,"",1,0,0,0,0,0,1,0,"",0,3,3,5,1,2,3,2,3,4,4,3,2,0,0,0,0,0,0,0,0,0,1,1,0,"",1,1,1,0,"",4,4,4,3,4,4,4,4,4,1,4,10,2,2,NA,0,0,0,1,0,0,0,0,"",21,"female","",0,0,"inc_1",5,0,"Laurel Rd and Bald Peak Rd","transpoandparking","","","white",2,4,3,4,3,4,3,4,5,"publictransit",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,26,3.71428571428571,27,3,32,3.2,39,3.9,TRUE,-0.846428368758198,0.220919169638169,0.286466001733462,-0.260211646285016,0.606702389307797,0.72725936985657
"7",2020-02-29 16:38:02,2020-02-29 16:55:28,"IP Address","98.246.176.46",100,1045,"True",2020-02-29 16:55:29,"R_AL1wi0QshknTXW1","","","","","45.5220947265625","-122.8585052490234375","anonymous","EN",1,1,0,1,0,0,0,"Student employee",5,5,"",18,2,2,2,5,5,4,4,3,2,4,4,3,4,3,3,0,1,1,0,1,0,0,1,1,0,0,0,0,"",2,2,3,4,2,2,4,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,"It’s too far away to ride a bike, especially since you can’t ride bikes on the freeway.",1,1,0,0,0,0,1,0,0,"",4,2,4,2,2,3,4,5,4,3,0,1,0,0,1,1,0,1,0,1,0,1,0,"",1,1,1,1,1,0,0,0,"",0,3,2,2,2,4,3,5,2,2,2,4,3,0,0,0,0,0,0,0,0,0,0,1,0,"",0,0,1,0,"",3,3,4,4,4,4,4,4,2,2,4,6,3,1,NA,0,0,0,0,0,0,1,0,"",22,NA,"",0,0,NA,3,0,"Bethany and Laidlaw","transpoandparking","","",NA,2,4,3,2,4,2,3,3,4,"publictransit",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,20,2.85714285714286,30,3.33333333333333,26,2.6,36,3.6,TRUE,-0.225465599158332,-0.048812793858065,-0.854695860016635,0.357070609998899,-0.323399820164825,0.222169795009885
"8",2020-03-01 11:18:22,2020-03-01 11:39:53,"IP Address","24.20.239.17",100,1290,"True",2020-03-01 11:39:54,"R_OvSVleREL3NXP0d","","","","","45.5287933349609375","-122.682098388671875","anonymous","EN",1,1,0,0,0,0,0,"",5,1,"",0,3,3,1,5,4,4,4,4,4,5,5,2,3,3,3,1,1,1,0,0,0,1,0,1,0,0,0,0,"",4,4,4,3,3,3,5,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"",0,0,0,0,0,0,1,0,0,"",4,3,3,1,3,2,1,5,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,"",0,1,0,0,1,0,1,0,"",1,4,3,2,1,3,2,3,3,5,3,4,1,0,1,0,0,0,0,0,0,0,0,1,0,"",0,0,1,0,"",2,4,4,3,4,4,5,5,3,3,4,2,1,6,7,0,0,1,0,0,0,0,0,"",18,"female","",0,0,"inc_1",2,0,"SW College and Fifth","transpoandparking","","","black",3,3,4,5,4,3,4,3,3,"activetransport",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,26,3.71428571428571,30,3.33333333333333,33,3.3,38,3.8,TRUE,0.353500264040176,0.147531970973262,0.247344970917538,0.124475769012903,0.815321888502955,0.260620839107619
"9",2020-03-01 13:45:18,2020-03-01 13:58:55,"IP Address","73.37.20.232",100,816,"True",2020-03-01 13:58:56,"R_1rOiXeqIQNFzVBy","","","","","45.3715972900390625","-122.765594482421875","anonymous","EN",1,1,0,0,0,0,0,"",3,5,"",10,2,2,1,5,4,4,4,5,5,5,5,3,3,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,"",2,2,2,3,3,2,4,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0,"",0,0,1,0,0,0,0,0,0,"",4,3,3,1,3,4,3,4,4,4,0,1,0,0,0,0,0,1,0,1,0,0,0,"",1,0,0,0,0,0,0,0,"",0,2,2,3,2,2,3,5,3,3,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,"",0,0,1,0,"",3,3,4,3,5,3,5,4,3,3,5,1,1,1,NA,0,0,0,1,0,1,0,0,"",20,"male","",0,0,"inc_1",3,0,"SW Farmington & Murray","transpoandparking","","","more_than_one_race",2,3,2,3,3,4,3,3,3,"publictransit",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,18,2.57142857142857,29,3.22222222222222,29,2.9,38,3.8,TRUE,0.875034192492511,-0.565459282374937,-1.39687470502969,0.178490387656628,0.00652667931533024,0.304750890535474
"10",2020-03-01 14:36:42,2020-03-01 14:50:34,"IP Address","216.105.74.22",100,831,"True",2020-03-01 14:50:34,"R_56de9K9CxT22XBv","","","","","45.25250244140625","-122.682403564453125","anonymous","EN",1,1,0,0,1,0,0,"",5,3,"",25,1,1,1,4,1,4,5,5,3,4,1,1,1,2,4,1,1,3,0,0,0,0,0,0,0,0,1,0,"",4,4,3,5,1,5,4,5,0,0,0,0,1,1,1,1,1,1,1,0,0,1,"I live too far away from campus and other places I drive to to be able to reasonably use a bike.",0,1,0,0,1,1,0,0,1,"Too far from anything to bike to.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,1,0,1,0,1,0,"",1,1,0,0,1,0,0,0,"",0,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1,1,"There is no MAX where I live and commute from",1,0,0,0,"",NA,NA,5,NA,NA,4,NA,5,4,1,4,NA,1,1,2,0,0,0,1,0,0,0,0,"",20,"nonbinary","",0,0,"inc_1",2,NA,"I live outside of Portland","transpoandparking","","","white",2,NA,NA,NA,NA,2,NA,2,5,"personalvehicle",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,27,3.85714285714286,NA,NA,4,2,22,NA,TRUE,-0.477338211407843,-1.46332713332859,0.787508771756442,NA,NA,NA
