filename,testname,car_walk_time,car_parking_cost,em_ticket_cost,em_walk_time,em_scoot_cost_flat,em_scoot_cost_rate,Q68_inc_2,Q68_inc_3,Q68_inc_4,Q68_inc_5,Q68_inc_6,RECODED_Q63_am_ind_ala,RECODED_Q63_asian,RECODED_Q63_black,RECODED_Q63_hisp_lat,RECODED_Q63_more_than_one_race,RECODED_Q63_nat_haw_pac,RECODED_Q63_other,Q65_female,Q65_nonbinary,Q65_other,Q11,Q64,Q66,Q67,Q69,Q70,Q5,Q7_4,RECODED_Q6_activetransport,RECODED_Q6_publictransit,RECODED_Q6_other,Q13,Q17,Q23,Q30,attitude_fac_car,attitude_fac_bike,attitude_fac_escooter,attitude_fac_MAX,Q8_FAC1,Q8_FAC2
current,Current Conditions,5,7,2.5,2,1,0.15,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
freescoot,Free E-Scooters,5,7,2.5,2,0,0,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
freeMAXfreescoot,Free MAX and Free E-Scooters,5,7,0,2,0,0,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
mediumparkingincrease,Medium Parking Cost Increase,5,11,2.5,2,1,0.15,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
largeparkingincrease,Large Parking Cost Increase,5,15,2.5,2,1,0.15,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
mediumparkingincreasefarscoot,Medium Parking Cost Increase and Less Dense E-Scooter Distribution,5,11,2.5,4,1,0.15,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
mediumparkingincreasescootercostincrease,Medium Parking Cost Increase and E-Scooter Cost Increase,5,11,2.5,2,1,0.25,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
female,Female,5,7,2.5,2,1,0.25,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,1,0,0,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
male,Male,5,7,2.5,2,1,0.25,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,0,0,0,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
othergender,Other gender,5,7,2.5,2,1,0.25,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,0,0,1,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
scootercostincrease,E-Scooter Cost Increase,5,7,2.5,2,1,0.25,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
1dayperweek,Comes to Campus Once per Week,5,7,2.5,2,1,0.15,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,1,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
5daysperweek,Comes to Campus 5 days per Week,5,7,2.5,2,1,0.15,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,5,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
numscootertrips_none,Took no e-scooter trips in the past week,5,7,2.5,2,1,0.15,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,0,mean,mean,mean,mean,mean,mean,mean
numscootertrips_1to4,Took 1-4 E-Scooter Trips in past week,5,7,2.5,2,1,0.15,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,1,mean,mean,mean,mean,mean,mean,mean
